"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"1",1,"Ja'Marr Chase",CIN,"403","0","0","127","1708","17","3","32","0"
"2",1,"Bijan Robinson",ATL,"341.7","0","0","61","431","1","304","1456","14"
"3",1,"Justin Jefferson",MIN,"317.5","0","0","103","1533","10","1","3","0"
"4",1,"CeeDee Lamb",DAL,"263.4","0","0","101","1194","6","14","70","0"
"5",2,"Jahmyr Gibbs",DET,"362.9","0","0","52","517","4","250","1412","16"
"6",2,"Malik Nabers",NYG,"273.6","0","0","109","1204","7","5","2","0"
"7",2,"Amon-Ra St. Brown",DET,"316.2","0","0","115","1263","12","2","6","0"
"8",2,"Puka Nacua",LAR,"206.6","0","0","79","990","3","11","46","1"
"9",2,"Saquon Barkley",PHI,"355.3","0","0","33","278","2","345","2005","13"
"10",2,"Nico Collins",HOU,"210.6","0","0","68","1006","7","0","0","0"
"11",2,"Brian Thomas Jr.",JAC,"284","0","0","87","1282","10","6","48","0"
"12",3,"Drake London",ATL,"280.8","0","0","100","1271","9","1","-3","0"
"13",3,"Christian McCaffrey",SF,"47.8","0","0","15","146","0","50","202","0"
"14",3,"A.J. Brown",PHI,"216.9","0","0","67","1079","7","0","0","0"
"15",3,"De'Von Achane",MIA,"299.9","0","0","78","592","6","203","907","6"
"16",3,"Brock Bowers",LV,"262.7","0","0","112","1194","5","5","13","0"
"17",3,"Ladd McConkey",LAC,"240.9","0","0","82","1149","7","0","0","0"
"18",3,"Ashton Jeanty",LV,"0","0","0","0","0","0","0","0","0"
"19",3,"Jaxon Smith-Njigba",SEA,"253","0","0","100","1130","6","5","26","0"
"20",3,"Trey McBride",ARI,"249.8","0","0","111","1146","2","1","2","1"
"21",4,"Derrick Henry",BAL,"336.4","0","0","19","193","2","325","1921","16"
"22",4,"Garrett Wilson",NYJ,"251.9","0","0","101","1104","7","2","5","0"
"23",4,"Tee Higgins",CIN,"222.1","0","0","73","911","10","0","0","0"
"24",4,"Josh Allen",BUF,"385","3731","28","0","0","0","102","531","12"
"25",4,"Lamar Jackson",BAL,"434.4","4172","41","0","0","0","139","915","4"
"26",4,"Tyreek Hill",MIA,"218.2","0","0","81","959","6","8","53","0"
"27",4,"Chase Brown",CIN,"255","0","0","54","360","4","229","990","7"
"28",4,"Bucky Irving",TB,"244.4","0","0","47","392","0","207","1122","8"
"29",4,"Davante Adams",LAR,"241.3","0","0","85","1063","8","0","0","0"
"30",4,"Josh Jacobs",GB,"293.1","0","0","36","342","1","301","1329","15"
"31",4,"Jonathan Taylor",IND,"244.7","0","0","18","136","1","303","1431","11"
"32",5,"George Kittle",SF,"236.6","0","0","78","1106","8","0","0","0"
"33",5,"Mike Evans",TB,"240.4","0","0","74","1004","11","0","0","0"
"34",5,"Jayden Daniels",WAS,"364.8","3568","25","0","0","0","148","891","6"
"35",5,"Jalen Hurts",PHI,"320.1","2903","18","0","0","0","150","630","14"
"36",5,"Kyren Williams",LAR,"272.1","0","0","34","182","2","316","1299","14"
"37",5,"Marvin Harrison Jr.",ARI,"196.5","0","0","62","885","8","0","0","0"
"38",5,"DJ Moore",CHI,"238.1","0","0","98","966","6","14","75","0"
"39",5,"Terry McLaurin",WAS,"267.8","0","0","82","1096","13","2","2","0"
"40",5,"Alvin Kamara",NO,"265.3","0","0","68","543","2","228","950","6"
"41",5,"Breece Hall",NYJ,"240.9","0","0","57","483","3","209","876","5"
"42",5,"Kenneth Walker III",SEA,"181.2","0","0","46","299","1","153","573","7"
"43",5,"DK Metcalf",PIT,"191.2","0","0","66","992","5","0","0","0"
"44",5,"Joe Burrow",CIN,"381.8","4918","43","0","0","0","42","201","2"
"45",5,"Courtland Sutton",DEN,"240.3","0","0","81","1081","8","0","0","0"
"46",6,"James Cook",BUF,"266.7","0","0","32","258","2","207","1009","16"
"47",6,"Omarion Hampton",LAC,"0","0","0","0","0","0","0","0","0"
"48",6,"DeVonta Smith",PHI,"199.4","0","0","68","833","8","1","1","0"
"49",6,"Chuba Hubbard",CAR,"241.6","0","0","43","171","1","250","1195","10"
"50",6,"Jaylen Waddle",MIA,"149.6","0","0","58","744","2","4","12","0"
"51",6,"Zay Flowers",BAL,"209.5","0","0","74","1059","4","9","56","0"
"52",6,"James Conner",ARI,"253.8","0","0","47","414","1","236","1094","8"
"53",6,"Tetairoa McMillan",CAR,"0","0","0","0","0","0","0","0","0"
"54",6,"Rashee Rice",KC,"64.9","0","0","24","288","2","1","1","0"
"55",6,"Xavier Worthy",KC,"187.2","0","0","59","638","6","20","104","3"
"56",6,"George Pickens",DAL,"164.4","0","0","59","900","3","2","-6","0"
"57",6,"Jameson Williams",DET,"212.2","0","0","58","1001","7","11","61","1"
"58",6,"Calvin Ridley",TEN,"199.2","0","0","64","1017","4","8","55","1"
