"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","Ja'Marr Chase","CIN","10","WR1","1","1","1","1","","1.0"
"2","Bijan Robinson","ATL","5","RB1","2","3","4","2","","2.6"
"3","Saquon Barkley","PHI","9","RB2","3","2","2","4","","2.8"
"4","Jahmyr Gibbs","DET","8","RB3","5","5","6","3","","4.6"
"5","Justin Jefferson","MIN","6","WR2","4","4","5","6","","4.8"
"6","CeeDee Lamb","DAL","10","WR3","6","6","3","5","","5.2"
"7","Puka Nacua","LAR","8","WR4","8","8","7","10","","9.2"
"8","Christian McCaffrey","SF","14","RB4","7","13","11","7","","9.4"
"9","Amon-Ra St. Brown","DET","8","WR5","9","7","8","11","","9.4"
"10","Malik Nabers","NYG","14","WR6","10","10","10","9","","9.8"
"11","Derrick Henry","BAL","7","RB5","13","9","9","13","","10.2"
"12","Ashton Jeanty","LV","8","RB6","11","11","12","8","","10.6"
"13","De'Von Achane","MIA","12","RB7","12","15","13","12","","12.0"
"14","Nico Collins","HOU","6","WR7","14","12","16","15","","14.6"
"15","Brian Thomas Jr.","JAC","8","WR8","16","14","14","16","","15.4"
"16","Josh Jacobs","GB","5","RB8","18","20","18","14","","16.8"
"17","A.J. Brown","PHI","9","WR9","15","17","15","23","","18.6"
"18","Lamar Jackson","BAL","7","QB1","21","22","17","24","","19.8"
"19","Brock Bowers","LV","8","TE1","19","16","19","20","","19.8"
"20","Jonathan Taylor","IND","11","RB9","17","24","22","19","","20.4"
"21","Drake London","ATL","5","WR10","22","18","20","21","","21.0"
"22","Bucky Irving","TB","9","RB10","23","19","25","18","","21.2"
"23","Josh Allen","BUF","7","QB2","20","21","21","27","","21.4"
"24","Kyren Williams","LAR","8","RB11","26","28","23","22","","23.6"
"25","Chase Brown","CIN","10","RB12","30","30","34","17","","26.6"
"26","Ladd McConkey","LAC","12","WR11","31","23","24","28","","26.6"
"27","Trey McBride","ARI","8","TE2","24","25","26","29","","28.0"
"28","Jayden Daniels","WAS","12","QB3","25","31","27","33","","29.6"
"29","Tyreek Hill","MIA","12","WR12","29","26","36","26","","30.4"
"30","Tee Higgins","CIN","10","WR13","27","29","31","35","","30.4"
"31","James Cook","BUF","7","RB13","33","34","28","31","","31.4"
"32","Breece Hall","NYJ","9","RB14","48","33","30","25","","33.0"
"33","Joe Burrow","CIN","10","QB4","32","40","35","37","","34.0"
"34","Jalen Hurts","PHI","9","QB5","28","36","32","44","","34.6"
"35","Jaxon Smith-Njigba","SEA","8","WR14","36","27","39","34","","34.8"
"36","Alvin Kamara","NO","11","RB15","38","41","46","32","","37.0"
"37","George Kittle","SF","14","TE3","34","37","38","41","","38.0"
"38","Kenneth Walker III","SEA","8","RB16","37","44","40","36","","38.2"
"39","Garrett Wilson","NYJ","9","WR15","39","32","37","39","","38.4"
"40","Davante Adams","LAR","8","WR16","35","43","41","40","","39.2"
"41","Mike Evans","TB","9","WR17","40","38","33","48","","39.6"
"42","Terry McLaurin","WAS","12","WR18","41","39","29","49","","40.8"
"43","Omarion Hampton","LAC","12","RB17","42","42","50","30","","41.2"
"44","Marvin Harrison Jr.","ARI","8","WR19","45","35","42","42","","41.6"
"45","Chuba Hubbard","CAR","14","RB18","46","46","52","38","","45.0"
"46","James Conner","ARI","8","RB19","49","51","49","46","","47.2"
"47","DJ Moore","CHI","5","WR20","52","49","47","47","","49.2"
"48","DK Metcalf","PIT","5","WR21","44","47","58","52","","49.8"
"49","Patrick Mahomes II","KC","10","QB6","47","53","45","62","","50.8"
"50","Sam LaPorta","DET","8","TE4","43","48","44","63","","51.0"
"51","Courtland Sutton","DEN","12","WR22","59","50","54","50","","53.2"
"52","Rashee Rice","KC","10","WR23","58","45","43","61","","54.4"
"53","DeVonta Smith","PHI","9","WR24","60","52","53","55","","55.6"
"54","Joe Mixon","HOU","6","RB20","56","57","48","65","","56.2"
"55","D'Andre Swift","CHI","5","RB21","57","71","61","45","","57.2"
"56","Xavier Worthy","KC","10","WR25","50","56","67","66","","57.8"
"57","David Montgomery","DET","8","RB22","62","55","65","58","","58.8"
"58","TreVeyon Henderson","NE","14","RB23","65","66","66","43","","59.2"
"59","Travis Kelce","KC","10","TE5","54","65","57","64","","60.4"
"60","Zay Flowers","BAL","7","WR26","53","54","69","70","","61.4"
"61","Baker Mayfield","TB","9","QB7","51","67","60","75","","62.4"
"62","T.J. Hockenson","MIN","6","TE6","55","58","51","73","","62.6"
"63","Jameson Williams","DET","8","WR27","67","59","55","67","","63.2"
